"","bcw_id","Genus","BNF","Group"
"1","BCW-200068","Pseudomonas",3,"SDS"
"2","BCW-200173","unassigned",2.6,"SDS"
"3","BCW-201868","Pseudomonas",2.3,"SDS"
"4","BCW-200103","Stenotrophomonas",2.1,"SDS"
"5","BCW-200443","Pseudomonas",1.4,"SDS"
"6","BCW-200056","Pseudomonas",1.3,"SDS"
"7","BCW-200621","Pseudomonas",1.3,"SDS"
"8","BCW-201851","Stenotrophomonas",1.3,"SDS"
"9","BCW-201859","Pseudomonas",1.3,"SDS"
"10","BCW-200290","Pseudomonas",1.2,"SDS"
"11","BCW-200498","unassigned",1.2,"SDS"
"12","BCW-200570","Stenotrophomonas",1.2,"SDS"
"13","BCW-200607","Pseudomonas",1.2,"SDS"
"14","BCW-200938","Stenotrophomonas",1.2,"SDS"
"15","BCW-200939","Stenotrophomonas",1.2,"SDS"
"16","BCW-201819","Curtobacterium",1.2,"SDS"
"17","BCW-201862","Pseudomonas",1.2,"SDS"
"18","BCW-201875","Pseudomonas",1.2,"SDS"
"19","BCW-200266","Stenotrophomonas",1.1,"SDS"
"20","BCW-200458","Pseudomonas",1.1,"SDS"
"21","BCW-200460","Pseudomonas",1.1,"SDS"
"22","BCW-200477","Pseudomonas",1.1,"SDS"
"23","BCW-200574","Stenotrophomonas",1.1,"SDS"
"24","BCW-200588","Pseudomonas",1.1,"SDS"
"25","BCW-200599","Pseudomonas",1.1,"SDS"
"26","BCW-200002","unassigned",1,"SDS"
"27","BCW-200008","Acinetobacter",1,"SDS"
"28","BCW-200044","Acinetobacter",1,"SDS"
"29","BCW-200147","unassigned",1,"SDS"
"30","BCW-200154","Stenotrophomonas",1,"SDS"
"31","BCW-200202","Stenotrophomonas",1,"SDS"
"32","BCW-200209","Leifsonia",1,"SDS"
"33","BCW-200267","Pseudomonas",1,"SDS"
"34","BCW-200432","Pseudomonas",1,"SDS"
"35","BCW-200436","Pseudomonas",1,"SDS"
"36","BCW-200476","Pseudomonas",1,"SDS"
"37","BCW-200497","Pseudomonas",1,"SDS"
"38","BCW-200527","Pseudomonas",1,"SDS"
"39","BCW-200528","Pseudomonas",1,"SDS"
"40","BCW-200587","Stenotrophomonas",1,"SDS"
"41","BCW-200589","Stenotrophomonas",1,"SDS"
"42","BCW-200646","Stenotrophomonas",1,"SDS"
"43","BCW-200790","Pseudomonas",1,"SDS"
"44","BCW-200791","unassigned",1,"SDS"
"45","BCW-200944","unassigned",1,"SDS"
"46","BCW-200945","Stenotrophomonas",1,"SDS"
"47","BCW-200993","Herbaspirillum",1,"SDS"
"48","BCW-201292","Pseudomonas",1,"SDS"
"49","BCW-201293","Pseudomonas",1,"SDS"
"50","BCW-201947","Pseudomonas",1,"SDS"
"51","BCW-200001","Acidovorax",0.9,"SDS"
"52","BCW-200046","Pseudomonas",0.9,"SDS"
"53","BCW-200065","Pseudomonas",0.9,"SDS"
"54","BCW-200073","Pseudomonas",0.9,"SDS"
"55","BCW-200081","Acinetobacter",0.9,"SDS"
"56","BCW-200101","Bacillus",0.9,"SDS"
"57","BCW-200105","Acinetobacter",0.9,"SDS"
"58","BCW-200118","Acinetobacter",0.9,"SDS"
"59","BCW-200011","Acidovorax",0.8,"SDS"
"60","BCW-200032","Acinetobacter",0.8,"SDS"
"61","BCW-200078","Micrococcus",0.8,"SDS"
"62","BCW-200100","Acinetobacter",0.8,"SDS"
"63","BCW-200112","Acinetobacter",0.8,"SDS"
"64","BCW-200119","Acinetobacter",0.8,"SDS"
"65","BCW-200153","Stenotrophomonas",0.8,"SDS"
"66","BCW-200116","Acinetobacter",NA,"SDS"
