"","bcw_id","Genus","PO4","NIF_Group"
"1","BCW-200574","Stenotrophomonas",1414.11042933333,"SDS"
"2","BCW-200112","Acinetobacter",1320.209974,"SDS"
"3","BCW-200436","Pseudomonas",1297.54601233333,"SDS"
"4","BCW-200100","Acinetobacter",1270.34120733333,"SDS"
"5","BCW-200621","Pseudomonas",1161.55419233333,"SDS"
"6","BCW-201292","Pseudomonas",1136.73276683333,"SDS"
"7","BCW-200527","Pseudomonas",1086.68555226667,"SDS"
"8","BCW-200599","Pseudomonas",1065.439673,"SDS"
"9","BCW-200587","Stenotrophomonas",1049.85835683333,"SDS"
"10","BCW-200945","Stenotrophomonas",1017.7525967,"SDS"
"11","BCW-201868","Pseudomonas",993.865030833333,"SDS"
"12","BCW-200119","Acinetobacter",988.188976566667,"SDS"
"13","BCW-201819","Curtobacterium",949.897750433333,"SDS"
"14","BCW-200528","Pseudomonas",942.2096317,"SDS"
"15","BCW-200460","Pseudomonas",936.605316966667,"SDS"
"16","BCW-200993","Herbaspirillum",890.273843266667,"SDS"
"17","BCW-200154","Stenotrophomonas",883.2020997,"SDS"
"18","BCW-200209","Leifsonia",872.703412066667,"SDS"
"19","BCW-200290","Pseudomonas",831.288343566667,"SDS"
"20","BCW-200938","Stenotrophomonas",820.0408998,"SDS"
"21","BCW-200266","Stenotrophomonas",816.973415166667,"SDS"
"22","BCW-200078","Micrococcus",800.613496933333,"SDS"
"23","BCW-201862","Pseudomonas",791.411042933333,"SDS"
"24","BCW-200202","Stenotrophomonas",775.5905512,"SDS"
"25","BCW-200103","Stenotrophomonas",770.341207333333,"SDS"
"26","BCW-200032","Acinetobacter",757.668711633333,"SDS"
"27","BCW-200477","Pseudomonas",755.623721866667,"SDS"
"28","BCW-200105","Acinetobacter",738.845144366667,"SDS"
"29","BCW-200570","Stenotrophomonas",724.948875266667,"SDS"
"30","BCW-200065","Pseudomonas",723.926380366667,"SDS"
"31","BCW-201851","Stenotrophomonas",716.768916166667,"SDS"
"32","BCW-201293","Pseudomonas",704.2492918,"SDS"
"33","BCW-200101","Bacillus",702.099737566667,"SDS"
"34","BCW-200267","Pseudomonas",699.527856466667,"SDS"
"35","BCW-200153","Stenotrophomonas",686.351706033333,"SDS"
"36","BCW-200588","Pseudomonas",684.049079766667,"SDS"
"37","BCW-200147","unassigned",682.414698166667,"SDS"
"38","BCW-200589","Stenotrophomonas",677.809254033333,"SDS"
"39","BCW-200011","Acidovorax",665.6441718,"SDS"
"40","BCW-201875","Pseudomonas",653.374233133333,"SDS"
"41","BCW-200116","Acinetobacter",618.1102362,"SDS"
"42","BCW-200118","Acinetobacter",603.6745407,"SDS"
"43","BCW-200497","Pseudomonas",591.879131266667,"SDS"
"44","BCW-200008","Acinetobacter",553.169734166667,"SDS"
"45","BCW-200081","Acinetobacter",472.392638033333,"SDS"
"46","BCW-200044","Acinetobacter",469.3251534,"SDS"
"47","BCW-200002","unassigned",451.9427403,"SDS"
"48","BCW-200443","Pseudomonas",445.807770933333,"SDS"
"49","BCW-200173","unassigned",443.5695538,"SDS"
"50","BCW-200001","Acidovorax",414.110429433333,"SDS"
"51","BCW-200791","unassigned",409.631728066667,"SDS"
"52","BCW-201947","Pseudomonas",386.9688385,"SDS"
"53","BCW-200046","Pseudomonas",354.805725966667,"SDS"
"54","BCW-200944","unassigned",329.367327666667,"SDS"
"55","BCW-200068","Pseudomonas",310.838445833333,"SDS"
"56","BCW-200432","Pseudomonas",307.6487252,"SDS"
"57","BCW-200056","Pseudomonas",260.736196333333,"SDS"
"58","BCW-200458","Pseudomonas",260.3552532,"SDS"
"59","BCW-201859","Pseudomonas",250.5291005,"SDS"
"60","BCW-200073","Pseudomonas",230.876795166667,"SDS"
"61","BCW-200607","Pseudomonas",168.8964475,"SDS"
"62","BCW-200498","unassigned",146.976568433333,"SDS"
"63","BCW-200646","Stenotrophomonas",66.8555240666667,"SDS"
"64","BCW-200939","Stenotrophomonas",47.5812547333333,"SDS"
"65","BCW-200790","Pseudomonas",20.5854579666667,"SDS"
"66","BCW-200476","Pseudomonas",NA,"SDS"
